Cortex,1
StockX,25
Acorns Grow Inc,91
Ping Identity,1444
StubHub,1629
Alkami Technology,282
Outreach,273
Docker,272
BigCommerce,303
Intelligent Growth Solutions,292
Clear,308
Duolingo Inc,1617
MoneySupermarket,1439
Life360,320
NextRoll Inc,183
Bumble,1583
Stellar Innovations,1422
FCSA,1518
Workleap,1489
Field Nation,1462
Blackstone,310
Skyscanner,1420
Diligent Corporation,1522
Chegg,306
Foodstuffs North Island,313
Tala,1468
Opendoor,37
Confluent Inc,280
Planday,332
Xero,334
Podium,318
Nubank,361
Etsy,1440
"H&R Block, Inc.",1395
ESL FACEIT Group - EFG,1384
RLDatix,1576
Live Oak Bank,1389
O'Reilly,101
Glide,223
ROKT Pte Ltd,200
Flyr Labs,1428
Tealium,350
EarnIn,322
Domino Data Lab,325
Altruist,1562
RentSpree,1368
Luxury Escapes Travel Pty Ltd,99
Collectors Holdings,197
Splitit,246
Arcules Inc.,1530
Attentive,296
WillowTree,1532
BetterUp,180
Vista,1363
Cimpress Schweiz GmbH,260
National Geographic Society,289
Cox Automotive Inc.,351
Canva,1598
Netflix,1390
Teladoc,1599
"Vizient, Inc.",1466
"Medline Industries, Inc.",342
Accolade Inc.,1476
McDonald's,1493
Sherwin-Williams,1611
Vendasta Technologies Inc,239
LetsGetChecked,209
Bitvavo,300
Archer IRM,1421
Instaleap LLC,1402
Varsity Tutors LLC,1408
Stoxx,1504
Logos,1432
Faithlife LLC,257
KrakenFlex,1484
Dropbox,288
Toyota North America,1580
Affirm,212
Armis Inc,173
dlocal.com,244
Tecnologías Rappi SAPI de CV,35
Tripadvisor,304
AlphaSense,1467
Relias,1410
SoFi,61
Shipt,198
"Workday, Inc.",279
Ibotta Inc.,1448
Blue Yonder,1549
Restoration Hardware,74
Unity Technologies,232
Checkr Inc.,301
Carnegie Learning,1463
UK Tote Group,326
GetYourGuide AG,349
In The Pocket,1563
Recurve,1386
GoCardless,1427
Shell plc,1451
ASML,1603
Jahez International Company,1495
Epic Games,191
SANS Institute,84
mike-rodriguez-sandbox,1631
Unknown,Unknown